state,clinton,trump
Alabama,34.36,62.08
Alaska,36.55,51.28
Arizona,45.13,48.67
Arkansas,33.65,60.57
California,61.73,31.62
Colorado,48.16,43.25
Connecticut,54.57,40.93
Delaware,53.09,41.71
District of Columbia,90.86,4.09
Florida,47.82,49.02
Georgia,45.64,50.77
Hawaii,62.22,30.04
Idaho,27.49,59.26
Illinois,55.83,38.76
Indiana,37.77,56.94
Iowa,41.74,51.15
Kansas,36.05,56.65
Kentucky,32.68,62.52
Louisiana,38.45,58.09
Maine,47.83,44.87
Maryland,60.33,33.91
Massachusetts,60.01,32.81
Michigan,47.27,47.50
Minnesota,46.44,44.92
Mississippi,40.11,57.94
Missouri,38.14,56.77
Montana,35.75,56.17
Nebraska,33.70,58.75
Nevada,47.92,45.50
New Hampshire,46.83,46.46
New Jersey,55.45,41.35
New Mexico,48.26,40.04
New York,59.01,36.52
North Carolina,46.17,49.83
North Dakota,27.23,62.96
Ohio,43.56,51.69
Oklahoma,28.93,65.32
Oregon,50.07,39.09
Pennsylvania,47.46,48.18
Rhode Island,54.41,38.90
South Carolina,40.67,54.94
South Dakota,31.74,61.53
Tennessee,34.72,60.72
Texas,43.24,52.23
Utah,27.46,45.54
Vermont,56.68,30.27
Virginia,49.73,44.41
Washington,52.54,36.83
West Virginia,26.43,68.50
Wisconsin,46.45,47.22
Wyoming,21.88,68.17
